dataset,sample,reference,primary_clock,secondary_clock,error_us
sof-discipline-rt-r1,38,38,603370682,314915547,0.187500
sof-discipline-rt-r1,39,39,606404137,331093568,0.218750
sof-discipline-rt-r1,40,40,609442195,347296137,0.218750
sof-discipline-rt-r1,41,41,612466395,363424798,0.234375
sof-discipline-rt-r1,42,42,615490650,379553753,0.234375
sof-discipline-rt-r1,43,43,618512051,395667487,0.250000
sof-discipline-rt-r1,44,44,621542879,411831497,0.265625
sof-discipline-rt-r1,45,45,624563783,427942580,0.265625
sof-discipline-rt-r1,46,46,627596987,444119262,0.296875
sof-discipline-rt-r1,47,47,630622432,460254563,0.296875
sof-discipline-rt-r1,48,48,633665559,476484166,0.312500
sof-discipline-rt-r1,49,49,636689539,492611655,0.328125
sof-discipline-rt-r1,50,50,639713142,508737132,0.328125
sof-discipline-rt-r2,1,1,870020941,1737014563,0.546875
sof-discipline-rt-r2,2,2,873048567,1753161497,0.562500
sof-discipline-rt-r2,3,3,876073635,1769294788,0.562500
sof-discipline-rt-r2,4,4,879108706,1785481428,0.578125
sof-discipline-rt-r2,5,5,882131680,1801603551,0.578125
sof-discipline-rt-r2,6,6,885157832,1817742624,0.578125
sof-discipline-rt-r2,7,7,888183498,1833879104,0.578125
sof-discipline-rt-r2,8,8,891210140,1850020790,0.562500
sof-discipline-rt-r2,9,9,894232646,1866140418,0.578125
sof-discipline-rt-r2,10,10,897260877,1882290578,0.578125
sof-discipline-rt-r2,11,11,900296338,1898479297,0.562500
sof-discipline-rt-r2,12,12,903328966,1914652908,0.578125
sof-discipline-rt-r2,13,13,906366984,1930855264,0.562500
sof-discipline-rt-r2,14,14,909396300,1947011210,0.562500
sof-discipline-rt-r2,15,15,912430502,1963193215,0.562500
sof-discipline-rt-r2,16,16,915465797,1979381049,0.562500
sof-discipline-rt-r2,17,17,918497667,1995550617,0.562500
sof-discipline-rt-r2,18,18,921521647,2011678106,0.562500
sof-discipline-rt-r2,19,19,924557291,2027867801,0.562500
sof-discipline-rt-r2,20,20,927590319,2044043545,0.562500
sof-discipline-rt-r2,21,21,930623670,2060221011,0.562500
sof-discipline-rt-r2,22,22,933653709,2076380814,0.562500
sof-discipline-rt-r2,23,23,936685340,2092549107,0.562500
sof-discipline-rt-r2,24,24,939716321,2108713934,0.562500
sof-discipline-rt-r2,25,25,942748797,2124886733,0.562500
sof-discipline-rt-r2,26,26,945793402,2141124219,0.562500
sof-discipline-rt-r2,27,27,948816313,2157246007,0.562500
sof-discipline-rt-r2,28,28,951845202,2173399676,0.562500
sof-discipline-rt-r2,29,29,954875356,2189560093,0.578125
sof-discipline-rt-r2,30,30,957906159,2205723970,0.578125
sof-discipline-rt-r2,31,31,960933058,2221867026,0.578125
sof-discipline-rt-r2,32,32,963966350,2238044178,0.578125
sof-discipline-rt-r2,33,33,966996969,2254207074,0.578125
sof-discipline-rt-r2,34,34,970020571,2270332547,0.578125
sof-discipline-rt-r2,35,35,973045628,2286465780,0.593750
sof-discipline-rt-r2,36,36,976079994,2302648659,0.578125
sof-discipline-rt-r2,37,37,979102234,2318766869,0.593750
sof-discipline-rt-r2,38,38,982139383,2334964590,0.593750
sof-discipline-rt-r2,39,39,985166907,2351110980,0.593750
sof-discipline-rt-r2,40,40,988191591,2367242224,0.593750
sof-discipline-rt-r2,41,41,991225749,2383423994,0.593750
sof-discipline-rt-r2,42,42,994250112,2399553525,0.593750
sof-discipline-rt-r2,43,43,997281903,2415722672,0.593750
sof-discipline-rt-r2,44,44,1000309618,2431870081,0.609375
sof-discipline-rt-r2,45,45,1003343732,2448051616,0.593750
sof-discipline-rt-r2,46,46,1006371290,2464198187,0.593750
sof-discipline-rt-r2,47,47,1009408421,2480395813,0.593750
sof-discipline-rt-r2,48,48,1012432293,2496522726,0.593750
sof-discipline-rt-r2,49,49,1015457032,2512654263,0.609375
sof-discipline-rt-r2,50,50,1018486369,2528810322,0.609375
