elapsed_s,temperature_c,commanded_power,measurement_window
0.0,100.1303491187166,0.1287708857862211,False
0.30000798111063887,100.1303491187166,0.13002672954203484,False
0.6000159047408715,100.1303491187166,0.13127761655378464,False
0.9000238283712179,100.09666001665846,0.1325186101219911,False
1.2000317661687632,100.09666001665846,0.13374481241084302,False
1.5000397015182898,100.09666001665846,0.13495138383547084,False
1.8000476368679301,100.062969409819,0.13613356236793459,False
2.10005556472629,100.062969409819,0.13728668221452053,False
2.400063122713391,100.062969409819,0.13840619096973789,False
2.7000706807006054,100.062969409819,0.13948767166194725,False
3.00007823868782,100.062969409819,0.14052685596595016,False
3.300085960149886,100.062969409819,0.14151964301708772,False
3.60009374432002,100.062969409819,0.1424621141501228,False
3.900101528490154,100.062969409819,0.14335054945660405,False
4.20010938874691,100.09666001665846,0.1441814427095153,False
4.500117339331609,100.09666001665846,0.14495151457107092,False
4.800125289916423,100.09666001665846,0.1456577254994089,False
5.100133233656493,100.09666001665846,0.14629728824114002,False
5.400141003763451,100.1303491187166,0.14686767830788008,False
5.70014877387041,100.1303491187166,0.14736664490374946,False
6.0001565439773685,100.1640367334125,0.14779221873357704,False
6.300164305740395,100.1640367334125,0.14814272015621774,False
6.600172044205124,100.19772287815528,0.1484167658257124,False
6.900179782669852,100.23140757034491,0.14861327418337913,False
7.200187570648723,100.23140757034491,0.14873146967352457,False
7.500195426306732,100.26509082737175,0.14877088576946845,False
7.800203281964855,100.29877266661697,0.14873136687022284,False
8.100211149989832,100.29877266661697,0.1486130689404991,False
8.40021920722063,100.33245310545215,0.1484164587241204,False
8.700227264451541,100.3661321612397,0.1481423122432517,False
9.00023532168234,100.39980985133292,0.147791711486905,False
9.30024350713063,100.43348619307568,0.14736603999265466,False
9.60025174366774,100.46716120380307,0.146866977825525,False
9.90025998020485,100.50083490084108,0.14629649473014514,False
10.200268262331292,100.50083490084108,0.14565684216391883,False
10.500276606686612,100.53450730150644,0.14495054461072626,False
10.800284951042045,100.56817842310721,0.1441803897849345,False
