elapsed_s,temperature_c,target_c,power,controller_state,fault,mcu_samples,mcu_temperature_c,mcu_temperature_estimate_c,mcu_temperature_valid,loop_clock,loop_clock_frequency,loop_clock_source,loop_dt_count,loop_dt_mean_s,loop_dt_stddev_s,loop_dt_min_s,loop_dt_max_s
0.0010835730008693645,29.14,55.0,0.0,active,0,116,,0.0,False,503267697,12000000,mcu,115,0.30000002608695653,1.593939372158553e-07,0.3,0.30000099999999996
1.250442042000941,29.16,55.0,0.5999847409781033,active,0,120,,36.374,False,517667691,12000000,mcu,119,0.300000025210084,1.5676267316115656e-07,0.3,0.30000099999999996
2.5027724909996323,29.22,55.0,1.0,active,0,123,,36.374,False,528467700,12000000,mcu,122,0.30000002459016395,1.5487248875156708e-07,0.3,0.30000099999999996
3.7552555900001607,29.37,55.0,1.0,active,0,126,,36.423,False,539267702,12000000,mcu,125,0.300000024,1.5304901175767192e-07,0.3,0.30000099999999996
4.758173690001058,29.75,55.0,1.0,active,0,130,,36.669,False,553667702,12000000,mcu,129,0.30000002325581393,1.5071489996297348e-07,0.3,0.30000099999999996
5.761190692999662,30.14,55.0,1.0,active,0,133,,36.816,False,564467700,12000000,mcu,132,0.3000000227272727,1.4903269373413638e-07,0.3,0.30000099999999996
6.764088257001276,30.57,55.0,1.0,active,0,136,,37.062,False,575267698,12000000,mcu,135,0.3000000222222222,1.4740554623801778e-07,0.3,0.30000099999999996
7.7671608600012405,31.24,55.0,1.0,active,0,140,,37.406,False,589667704,12000000,mcu,139,0.3000000215827338,1.453166178181594e-07,0.3,0.30000099999999996
8.770065500000783,31.77,55.0,1.0,active,0,143,,37.701,False,600467706,12000000,mcu,142,0.30000002112676055,1.438068863145221e-07,0.3,0.30000099999999996
9.772996171999694,32.54,55.0,1.0,active,0,146,,37.996,False,611267698,12000000,mcu,145,0.30000002068965514,1.4234322372793306e-07,0.3,0.30000099999999996
11.025849555000605,33.29,55.0,1.0,active,0,153,,38.733,False,636467700,12000000,mcu,152,0.3000000197368421,1.8029196850058845e-07,0.299999,0.30000099999999996
12.277985013000944,34.05,55.0,1.0,active,0,156,,39.028,False,647267701,12000000,mcu,155,0.3000000193548387,1.78559387136749e-07,0.299999,0.30000099999999996
13.530438841000432,34.83,55.0,1.0,active,0,160,,39.47,False,661667701,12000000,mcu,159,0.3000000188679245,1.7632510401102121e-07,0.299999,0.30000099999999996
14.53346444700037,35.41,55.0,1.0,active,0,163,,39.814,False,672467704,12000000,mcu,162,0.3000000185185185,1.7470335429734452e-07,0.299999,0.30000099999999996
15.536540593000609,35.98,55.0,1.0,active,0,166,,40.109,False,683267701,12000000,mcu,165,0.30000001818181815,1.7312553766164486e-07,0.299999,0.30000099999999996
16.53949710699999,36.91,55.0,1.0,active,0,170,,40.6,False,697667699,12000000,mcu,169,0.3000000177514793,1.71086772719538e-07,0.299999,0.30000099999999996
17.79170678400078,37.52,55.0,1.0,active,0,173,,40.994,False,708467698,12000000,mcu,172,0.30000001744186044,1.6960409471877698e-07,0.299999,0.30000099999999996
18.794564260000698,38.25,55.0,1.0,active,0,176,,41.288,False,719267704,12000000,mcu,175,0.3000000171428571,1.6815930250928184e-07,0.299999,0.30000099999999996
20.047513104000245,38.97,55.0,1.0,active,0,183,,42.124,False,744467703,12000000,mcu,182,0.3000000164835165,1.6492671450333665e-07,0.299999,0.30000099999999996
21.300103669000237,39.87,55.0,1.0,active,0,186,,42.468,False,755267706,12000000,mcu,185,0.3000000162162162,1.635972535180709e-07,0.299999,0.30000099999999996
22.552454304001003,40.41,55.0,1.0,active,0,190,,42.959,False,769667703,12000000,mcu,189,0.30000001587301584,1.618736353521519e-07,0.299999,0.30000099999999996
23.555382816999554,40.92,55.0,1.0,active,0,193,,43.303,False,780467698,12000000,mcu,192,0.300000015625,1.6061608276155493e-07,0.299999,0.30000099999999996
24.558276564001062,41.59,55.0,1.0,active,0,196,,43.647,False,791267698,12000000,mcu,195,0.3000000205128205,1.742080795021849e-07,0.299999,0.30000099999999996
