wall_time,elapsed_s,print_state,filename,print_duration_s,total_duration_s,bed_temperature_c,bed_target_c,bed_power,bed_state,bed_fault,bed_samples,bed_mcu_temperature_c,bed_loop_dt_count,bed_loop_dt_mean_s,bed_loop_dt_stddev_s,bed_loop_dt_min_s,bed_loop_dt_max_s,bed_pid_kp,bed_pid_ki,bed_pid_kd,bed_pid_source,bed_pid_model,extruder_temperature_c,extruder_target_c,extruder_power,extruder_state,extruder_fault,extruder_samples,extruder_mcu_temperature_c,extruder_loop_dt_count,extruder_loop_dt_mean_s,extruder_loop_dt_stddev_s,extruder_loop_dt_min_s,extruder_loop_dt_max_s,extruder_pid_kp,extruder_pid_ki,extruder_pid_kd,extruder_pid_source,extruder_pid_model
1784591256.8068008,0.09143811700005244,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,176.62740934399972,227.10578086399983,54.62,55.0,0.0,active,0,787,54.705,786,0.30000001908396945,8.024351752250128e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.29,210.0,0.819653620202945,active,0,787,210.355,786,0.30000066284987276,6.474221396216698e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591257.3081994,0.5928366939997431,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,177.12881689699998,227.6071884170001,54.63,55.0,0.0,active,0,787,54.705,786,0.30000001908396945,8.024351752250128e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.31,210.0,0.819653620202945,active,0,787,210.355,786,0.30000066284987276,6.474221396216698e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591257.8094196,1.0940570989996559,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,177.6301295379999,228.108501058,54.65,55.0,0.09558251316090638,active,0,790,54.656,789,0.3000000164765526,8.03231636680834e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.28,210.0,0.8342717631799802,active,0,790,210.318,789,0.30000066666666664,6.462102971978072e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591258.3110478,1.595684811999945,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,178.1315576259999,228.609929146,54.64,55.0,0.09558251316090638,active,0,790,54.656,789,0.3000000164765526,8.03231636680834e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.25,210.0,0.8342717631799802,active,0,790,210.318,789,0.30000066666666664,6.462102971978072e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591258.811916,2.096553325000059,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,178.63261644099975,229.11098796099986,54.62,55.0,0.12130922407873655,active,0,793,54.656,792,0.3000000277777778,8.034442027800813e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.19,210.0,0.8560769054703593,active,0,794,210.159,793,0.3000006557377049,6.448718081741018e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591259.3134584,2.5980955879999783,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,179.13406628699977,229.61243780699988,54.63,55.0,0.12130922407873655,active,0,793,54.656,792,0.3000000277777778,8.034442027800813e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.12,210.0,0.8560769054703593,active,0,794,210.159,793,0.3000006557377049,6.448718081741018e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591259.8149714,3.0996085599999788,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,179.6356413049998,230.11401282499992,54.64,55.0,0.11020065613794156,active,0,797,54.656,796,0.30000002010050253,8.034604679242676e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.09,210.0,0.8668345159075304,active,0,797,210.037,796,0.3000006658291457,6.436685363933905e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591260.3156803,3.6003176659996825,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,180.13632952699982,230.61470104699993,54.64,55.0,0.11020065613794156,active,0,797,54.656,796,0.30000002010050253,8.034604679242676e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.04,210.0,0.8668345159075304,active,0,797,210.037,796,0.3000006658291457,6.436685363933905e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591260.8161616,4.100798923999719,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,180.63677166699972,231.11514318699983,54.64,55.0,0.13592736705577171,active,0,800,54.656,799,0.3000000087609512,8.02584519415418e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.01,210.0,0.863385976958877,active,0,800,209.991,799,0.3000006833541927,6.425776167657148e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591261.3176022,4.602239266999732,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,181.13820227299993,231.61657379300004,54.65,55.0,0.13592736705577171,active,0,800,54.656,799,0.3000000087609512,8.02584519415418e-06,0.29991,0.300103,54.027,0.77,948.182,base,point,210.0,210.0,0.863385976958877,active,0,800,209.991,799,0.3000006833541927,6.425776167657148e-05,0.299006,0.30091599999999996,14.205892372630283,2.03725,38.19622460734466,linear,curve
