elapsed_s,temperature_c,target_c,power,controller_state,fault,mcu_samples,mcu_temperature_c,loop_clock,loop_clock_frequency,loop_clock_source,loop_dt_count,loop_dt_mean_s,loop_dt_stddev_s,loop_dt_min_s,loop_dt_max_s
0.0010186039726249874,30.15,60.0,0.0,ready,0,176,0.0,719279343,12000000,mcu,175,0.30000002285714283,1.494479637785374e-07,0.3,0.30000099999999996
0.7503178709885105,30.12,60.0,1.0,active,0,179,38.933,730079343,12000000,mcu,178,0.3000000224719101,1.4821242649744854e-07,0.3,0.30000099999999996
1.5024704309762456,30.17,60.0,1.0,active,0,182,38.889,740879347,12000000,mcu,181,0.3000000220994475,1.47007013211603e-07,0.3,0.30000099999999996
2.2534484659554437,30.29,60.0,1.0,active,0,186,39.066,755279346,12000000,mcu,185,0.3000000216216216,1.4544458429268876e-07,0.3,0.30000099999999996
3.00612757896306,30.53,60.0,1.0,active,0,186,39.066,755279346,12000000,mcu,185,0.3000000216216216,1.4544458429268876e-07,0.3,0.30000099999999996
3.757808620983269,30.72,60.0,1.0,active,0,189,39.198,766079334,12000000,mcu,188,0.30000002127659575,1.4430489325798443e-07,0.3,0.30000099999999996
4.509081527998205,31.11,60.0,1.0,active,0,192,39.375,776879337,12000000,mcu,191,0.30000002094240835,1.4319156367724967e-07,0.3,0.30000099999999996
5.261131559964269,31.37,60.0,1.0,active,0,196,39.596,791279337,12000000,mcu,195,0.3000000205128205,1.4174640985728465e-07,0.3,0.30000099999999996
6.013386167003773,31.86,60.0,1.0,active,0,196,39.596,791279337,12000000,mcu,195,0.3000000205128205,1.4174640985728465e-07,0.3,0.30000099999999996
6.765098352974746,32.2,60.0,1.0,active,0,199,39.861,802079342,12000000,mcu,198,0.3000000202020202,1.4069079067862748e-07,0.3,0.30000099999999996
7.516032295010518,32.69,60.0,1.0,active,0,202,40.126,812879343,12000000,mcu,201,0.3000000199004975,1.3965839649371343e-07,0.3,0.30000099999999996
8.268080658977851,33.06,60.0,1.0,active,0,206,40.479,827279341,12000000,mcu,205,0.3000000195121951,1.3831655491471049e-07,0.3,0.30000099999999996
9.02004339999985,33.6,60.0,1.0,active,0,206,40.479,827279341,12000000,mcu,205,0.3000000195121951,1.3831655491471049e-07,0.3,0.30000099999999996
9.77158977498766,33.97,60.0,1.0,active,0,209,40.744,838079346,12000000,mcu,208,0.30000001923076924,1.373351620873625e-07,0.3,0.30000099999999996
10.523551026009955,34.51,60.0,1.0,active,0,212,41.009,848879345,12000000,mcu,211,0.30000001895734596,1.363743561131579e-07,0.3,0.30000099999999996
11.275673099968117,34.9,60.0,1.0,active,0,216,41.407,863279337,12000000,mcu,215,0.30000001860465114,1.351240841519437e-07,0.3,0.30000099999999996
12.027893578982912,35.47,60.0,1.0,active,0,216,41.407,863279337,12000000,mcu,215,0.30000001860465114,1.351240841519437e-07,0.3,0.30000099999999996
12.779533280991018,35.89,60.0,1.0,active,0,219,41.716,874079344,12000000,mcu,218,0.30000001834862383,1.3420861319566785e-07,0.3,0.30000099999999996
13.530811131990049,36.42,60.0,1.0,active,0,222,41.981,884879344,12000000,mcu,221,0.3000000180995475,1.333114919697397e-07,0.3,0.30000099999999996
14.28310124098789,36.79,60.0,1.0,active,0,226,42.422,899279336,12000000,mcu,225,0.3000000177777778,1.3214283330949782e-07,0.3,0.30000099999999996
15.03404459595913,37.37,60.0,1.0,active,0,226,42.422,899279336,12000000,mcu,225,0.3000000177777778,1.3214283330949782e-07,0.3,0.30000099999999996
15.786032414995134,37.75,60.0,1.0,active,0,229,42.732,910079339,12000000,mcu,228,0.30000001754385963,1.3128622409733128e-07,0.3,0.30000099999999996
16.538173567969352,38.25,60.0,1.0,active,0,232,42.997,920879341,12000000,mcu,231,0.30000001731601733,1.3044605344865248e-07,0.3,0.30000099999999996
17.289326894970145,38.65,60.0,1.0,active,0,236,43.482,935279337,12000000,mcu,235,0.3000000170212766,1.2935050343464392e-07,0.3,0.30000099999999996
18.04057282296708,39.18,60.0,1.0,active,0,236,43.482,935279337,12000000,mcu,235,0.3000000170212766,1.2935050343464392e-07,0.3,0.30000099999999996
18.791649311955553,39.55,60.0,1.0,active,0,239,43.792,946079347,12000000,mcu,238,0.30000001680672267,1.2854671042670886e-07,0.3,0.30000099999999996
19.542614225996658,40.09,60.0,1.0,active,0,242,44.101,956879348,12000000,mcu,241,0.30000001659751035,1.2775771218539962e-07,0.3,0.30000099999999996
20.29355115996441,40.41,60.0,1.0,active,0,246,44.498,971279345,12000000,mcu,245,0.3000000163265306,1.2672795670416344e-07,0.3,0.30000099999999996
21.04529147298308,40.95,60.0,1.0,active,0,246,44.498,971279345,12000000,mcu,245,0.3000000163265306,1.2672795670416344e-07,0.3,0.30000099999999996
21.796153320989106,41.29,60.0,1.0,active,0,249,44.851,982079342,12000000,mcu,248,0.30000001612903227,1.2597176896623636e-07,0.3,0.30000099999999996
22.547576323966496,41.79,60.0,1.0,active,0,252,45.116,992879336,12000000,mcu,251,0.30000001593625497,1.2522895335061124e-07,0.3,0.30000099999999996
23.298434590979014,42.12,60.0,1.0,active,0,256,45.602,1007279339,12000000,mcu,255,0.3000000196078431,1.386483884679505e-07,0.3,0.30000099999999996
24.04986451601144,42.63,60.0,1.0,active,0,256,45.602,1007279339,12000000,mcu,255,0.3000000196078431,1.386483884679505e-07,0.3,0.30000099999999996
24.800749430956785,42.95,60.0,1.0,active,0,259,45.956,1018079346,12000000,mcu,258,0.30000001937984494,1.3785596313006777e-07,0.3,0.30000099999999996
25.551789560006,43.39,60.0,1.0,active,0,262,46.221,1028879342,12000000,mcu,261,0.3000000191570881,1.3707696413791815e-07,0.3,0.30000099999999996
26.30284652201226,43.74,60.0,1.0,active,0,266,46.662,1043279338,12000000,mcu,265,0.3000000188679245,1.3605853869675433e-07,0.3,0.30000099999999996
27.054024913988542,44.18,60.0,1.0,active,0,266,46.662,1043279338,12000000,mcu,265,0.3000000188679245,1.3605853869675433e-07,0.3,0.30000099999999996
27.805249632976484,44.47,60.0,1.0,active,0,269,46.927,1054079343,12000000,mcu,268,0.3000000186567164,1.353094355557369e-07,0.3,0.30000099999999996
28.55628889799118,44.91,60.0,1.0,active,0,272,47.236,1064879346,12000000,mcu,271,0.3000000184501845,1.3457256478826914e-07,0.3,0.30000099999999996
29.30786632199306,45.21,60.0,1.0,active,0,276,47.678,1079279345,12000000,mcu,275,0.30000001818181815,1.33608531424537e-07,0.3,0.30000099999999996
