elapsed_s,temperature_c,target_c,power,controller_state,fault,mcu_samples,mcu_temperature_c,loop_clock,loop_clock_frequency,loop_clock_source
0.0009903449681587517,26.61,60.0,1.0,host,0,,,,,
0.7503005519974977,26.6,60.0,1.0,host,0,,,,,
1.501281704986468,26.6,60.0,1.0,host,0,,,,,
2.2537495229626074,26.74,60.0,1.0,host,0,,,,,
3.005442348017823,26.9,60.0,1.0,host,0,,,,,
3.7574196869973093,27.22,60.0,1.0,host,0,,,,,
4.508575182990171,27.46,60.0,1.0,host,0,,,,,
5.259904959995765,27.91,60.0,1.0,host,0,,,,,
6.0117165459669195,28.25,60.0,1.0,host,0,,,,,
6.762977954000235,28.75,60.0,1.0,host,0,,,,,
7.513967602979392,29.05,60.0,1.0,host,0,,,,,
8.26627720601391,29.58,60.0,1.0,host,0,,,,,
9.018042095005512,29.95,60.0,1.0,host,0,,,,,
9.769819882989395,30.5,60.0,1.0,host,0,,,,,
10.520774909993634,30.91,60.0,1.0,host,0,,,,,
11.272902823984623,31.46,60.0,1.0,host,0,,,,,
12.02468372596195,31.82,60.0,1.0,host,0,,,,,
12.775652101961896,32.39,60.0,1.0,host,0,,,,,
13.526489083014894,32.74,60.0,1.0,host,0,,,,,
14.277421795006376,33.34,60.0,1.0,host,0,,,,,
15.028164825984277,33.74,60.0,1.0,host,0,,,,,
15.779624987975694,34.28,60.0,1.0,host,0,,,,,
16.53066657599993,34.66,60.0,1.0,host,0,,,,,
17.282956217008177,35.22,60.0,1.0,host,0,,,,,
18.035516541975085,35.55,60.0,1.0,host,0,,,,,
18.78697536699474,36.1,60.0,1.0,host,0,,,,,
19.538956163974945,36.47,60.0,1.0,host,0,,,,,
20.291434026963543,37.0,60.0,1.0,host,0,,,,,
21.043462933972478,37.33,60.0,1.0,host,0,,,,,
21.79527375701582,37.82,60.0,1.0,host,0,,,,,
22.54659626900684,38.15,60.0,1.0,host,0,,,,,
23.297767620009836,38.66,60.0,1.0,host,0,,,,,
24.04857780301245,38.98,60.0,1.0,host,0,,,,,
24.800508389016613,39.46,60.0,1.0,host,0,,,,,
25.551400933996774,39.8,60.0,1.0,host,0,,,,,
26.302529321983457,40.28,60.0,1.0,host,0,,,,,
27.054673067003023,40.56,60.0,1.0,host,0,,,,,
27.806511823961046,41.01,60.0,1.0,host,0,,,,,
28.557759559014812,41.33,60.0,1.0,host,0,,,,,
29.30965146201197,41.74,60.0,1.0,host,0,,,,,
30.06148030096665,42.04,60.0,1.0,host,0,,,,,
30.81309346097987,42.53,60.0,1.0,host,0,,,,,
31.565014327003155,42.79,60.0,1.0,host,0,,,,,
32.31732955400366,43.23,60.0,1.0,host,0,,,,,
33.06928225600859,43.49,60.0,1.0,host,0,,,,,
33.82064475398511,43.88,60.0,1.0,host,0,,,,,
34.57145673397463,44.16,60.0,1.0,host,0,,,,,
35.322399725962896,44.54,60.0,1.0,host,0,,,,,
36.074305230984464,44.79,60.0,1.0,host,0,,,,,
36.82585746201221,45.17,60.0,1.0,host,0,,,,,
37.5768357529887,45.42,60.0,1.0,host,0,,,,,
38.32907635398442,45.78,60.0,1.0,host,0,,,,,
39.08016836998286,46.02,60.0,1.0,host,0,,,,,
39.831014538009185,46.37,60.0,1.0,host,0,,,,,
40.58202079596231,46.6,60.0,1.0,host,0,,,,,
41.333232666016556,46.95,60.0,1.0,host,0,,,,,
42.08404043497285,47.16,60.0,1.0,host,0,,,,,
42.8359158509993,47.48,60.0,1.0,host,0,,,,,
43.588031694001984,47.71,60.0,1.0,host,0,,,,,
44.338935464969836,48.03,60.0,1.0,host,0,,,,,
45.090726330003235,48.22,60.0,1.0,host,0,,,,,
45.8425342089613,48.53,60.0,1.0,host,0,,,,,
46.59471274999669,48.73,60.0,1.0,host,0,,,,,
47.345583185961004,49.0,60.0,1.0,host,0,,,,,
48.09708288300317,49.19,60.0,1.0,host,0,,,,,
48.848099584982265,49.46,60.0,1.0,host,0,,,,,
49.600677009962965,49.63,60.0,0.8930451725439446,host,0,,,,,
50.351567386998795,49.87,60.0,0.9278851196815179,host,0,,,,,
51.10256385896355,50.03,60.0,1.0,host,0,,,,,
51.85346767201554,50.26,60.0,1.0,host,0,,,,,
52.60529122996377,50.35,60.0,1.0,host,0,,,,,
53.35623657301767,50.4,60.0,1.0,host,0,,,,,
54.10780428000726,50.47,60.0,1.0,host,0,,,,,
54.8596615580027,50.64,60.0,1.0,host,0,,,,,
55.61069577501621,50.8,60.0,1.0,host,0,,,,,
56.361965727002826,51.04,60.0,0.8595779013837164,host,0,,,,,
57.113787645997945,51.21,60.0,0.8976243794762212,host,0,,,,,
57.864656917983666,51.43,60.0,1.0,host,0,,,,,
58.61680968699511,51.6,60.0,0.8983343689114816,host,0,,,,,
59.368131204973906,51.81,60.0,0.9018453319705827,host,0,,,,,
60.11973301897524,51.93,60.0,1.0,host,0,,,,,
60.870611917984206,52.11,60.0,1.0,host,0,,,,,
61.62241770897526,52.25,60.0,0.9129779039960576,host,0,,,,,
62.374526551982854,52.44,60.0,1.0,host,0,,,,,
63.12634615699062,52.57,60.0,0.9273325124104378,host,0,,,,,
63.87770594400354,52.77,60.0,0.6020401083305675,host,0,,,,,
64.62990205798997,52.88,60.0,0.8960016939165814,host,0,,,,,
65.38180307799485,53.05,60.0,0.9571391883071744,host,0,,,,,
66.13346004899358,53.16,60.0,0.9571391883071744,host,0,,,,,
66.8852555709891,53.32,60.0,1.0,host,0,,,,,
67.63621042401064,53.44,60.0,0.7837578255591869,host,0,,,,,
68.38850687700324,53.58,60.0,1.0,host,0,,,,,
69.13929204799933,53.65,60.0,1.0,host,0,,,,,
69.89092726499075,53.83,60.0,0.9220371630680485,host,0,,,,,
70.64188834896777,53.94,60.0,0.9671378532771607,host,0,,,,,
71.39343452599132,54.09,60.0,0.9732239668744885,host,0,,,,,
72.14481067896122,54.25,60.0,1.0,host,0,,,,,
72.89560409099795,54.34,60.0,0.9286427146532837,host,0,,,,,
73.64759551599855,54.46,60.0,1.0,host,0,,,,,
74.39964618498925,54.54,60.0,0.9187014388462341,host,0,,,,,
75.15042090299539,54.7,60.0,0.6613382777830409,host,0,,,,,
75.90216929500457,54.78,60.0,0.897702345326784,host,0,,,,,
76.65302565996535,54.94,60.0,0.8765151976487429,host,0,,,,,
77.4050703360117,55.04,60.0,0.8837399383053764,host,0,,,,,
78.15673643699847,55.16,60.0,1.0,host,0,,,,,
78.90788027097005,55.22,60.0,1.0,host,0,,,,,
79.6591568129952,55.33,60.0,0.9070844546574612,host,0,,,,,
80.41049703897443,55.4,60.0,0.9308351414935823,host,0,,,,,
81.16096528398339,55.52,60.0,0.7988498643163205,host,0,,,,,
81.91276461700909,55.6,60.0,0.9469835683368272,host,0,,,,,
82.66375278698979,55.74,60.0,0.638623429843367,host,0,,,,,
83.41574487398611,55.82,60.0,0.855719972473298,host,0,,,,,
84.16667113400763,55.92,60.0,1.0,host,0,,,,,
84.91791926900623,55.99,60.0,0.9397009824061398,host,0,,,,,
85.66891060501803,56.07,60.0,0.9905998771396618,host,0,,,,,
86.42069784097839,56.13,60.0,0.922809176709531,host,0,,,,,
87.17236997297732,56.21,60.0,1.0,host,0,,,,,
87.92438954196405,56.27,60.0,0.8579178317052173,host,0,,,,,
