elapsed_s,temperature_c,target_c,power,controller_state,fault,mcu_samples,mcu_temperature_c,loop_clock,loop_clock_frequency,loop_clock_source,loop_dt_count,loop_dt_mean_s,loop_dt_stddev_s,loop_dt_min_s,loop_dt_max_s
0.0010549540165811777,27.72,100.0,1.0,active,0,973,50.873,1950046930,64000000,mcu,972,0.30000053703703705,2.4405833704114e-06,0.299987,0.300049
0.5005520909908228,27.83,100.0,1.0,active,0,973,50.873,1950046930,64000000,mcu,972,0.30000053703703705,2.4405833704114e-06,0.299987,0.300049
1.0018396219820715,28.12,100.0,1.0,active,0,976,51.176,2007647116,64000000,mcu,975,0.30000053846153846,2.4382229115627285e-06,0.299987,0.300049
1.5023627139744349,29.16,100.0,1.0,active,0,976,51.176,2007647116,64000000,mcu,975,0.30000053846153846,2.4382229115627285e-06,0.299987,0.300049
2.003299600968603,30.78,100.0,1.0,active,0,980,52.389,2084447090,64000000,mcu,979,0.3000005362614913,2.435157604927405e-06,0.299987,0.300049
2.5042187409708276,31.73,100.0,1.0,active,0,980,52.389,2084447090,64000000,mcu,979,0.3000005362614913,2.435157604927405e-06,0.299987,0.300049
3.0052516179857776,33.86,100.0,1.0,active,0,983,53.636,2142047477,64000000,mcu,982,0.30000054073319754,2.4344503580735426e-06,0.299987,0.300049
3.5070897950208746,36.29,100.0,1.0,active,0,983,53.636,2142047477,64000000,mcu,982,0.30000054073319754,2.4344503580735426e-06,0.299987,0.300049
4.008097290003207,37.56,100.0,1.0,active,0,986,55.186,2199647804,64000000,mcu,985,0.3000005431472081,2.433358741561096e-06,0.299987,0.300049
4.508662516018376,40.2,100.0,1.0,active,0,986,55.186,2199647804,64000000,mcu,985,0.3000005431472081,2.433358741561096e-06,0.299987,0.300049
5.009382218006067,42.9,100.0,1.0,active,0,990,57.612,2276448085,64000000,mcu,989,0.30000054398382203,2.431537127948422e-06,0.299987,0.300049
5.510382679000031,44.3,100.0,1.0,active,0,990,57.612,2276448085,64000000,mcu,989,0.30000054398382203,2.431537127948422e-06,0.299987,0.300049
6.011299511999823,47.08,100.0,1.0,active,0,993,59.735,2334047624,64000000,mcu,992,0.3000005362903226,2.4347727812586455e-06,0.299987,0.300049
6.512253045977559,49.87,100.0,1.0,active,0,993,59.735,2334047624,64000000,mcu,992,0.3000005362903226,2.4347727812586455e-06,0.299987,0.300049
7.0131783339893445,51.28,100.0,1.0,active,0,996,62.06,2391648072,64000000,mcu,995,0.30000054070351756,2.433662894271195e-06,0.299987,0.300049
7.514435047982261,54.07,100.0,1.0,active,0,996,62.06,2391648072,64000000,mcu,995,0.30000054070351756,2.433662894271195e-06,0.299987,0.300049
8.015922010003123,56.86,100.0,1.0,active,0,1000,65.463,2468448398,64000000,mcu,999,0.30000054254254255,2.431842058551435e-06,0.299987,0.300049
